date,n_components,weighted_mean,weighted_median,pearson_skew,bowley_skew,boc_trim,boc_median,boc_spread
2004-03-01,59,0.748235249758815,1.608211414495456,-1.361483818727865,-0.1851586446924716,1.4,1.5,-0.10000000000000009
2004-04-01,59,1.2136362042122015,2.2196966212314004,-0.5124302258380496,-0.3821250590415113,1.6,1.6,0.0
2004-05-01,59,1.7230208217341578,2.3424530824092455,-0.10002436475798263,-0.2701431649779101,1.6,1.6,0.0
2004-06-01,59,1.6531127316599765,2.4242586458993425,-0.21073146860135406,-0.4314173910813177,1.6,1.6,0.0
2004-07-01,59,1.632485726778696,1.802247287708262,-0.6105938420472226,0.02818741455305205,1.7,1.6,0.09999999999999987
2004-08-01,59,1.609330198151349,1.8245261671746316,-0.5675953239767922,-0.24090095662953065,1.7,1.6,0.09999999999999987
2004-09-01,59,1.8527760192765803,2.4014908805160897,0.8979959163186122,-0.5978283445236817,1.6,1.7,-0.09999999999999987
2004-10-01,59,2.0148169235844455,2.2732575443532737,3.3083510633994244,-0.1783149773824322,1.7,1.7,0.0
2004-11-01,59,2.0789917497988317,2.270557951479791,3.3510336887810532,-0.09362507295625376,1.9,1.9,0.0
2004-12-01,59,1.8106760543890954,2.270557951479791,2.354180897260255,-0.0196073672822773,1.9,1.9,0.0
2005-01-01,59,1.6329611662176653,2.520244308490216,0.15673130573859928,-0.4949167775176174,1.7,1.8,-0.10000000000000009
2005-02-01,59,1.5391774915401248,2.146400529167227,0.28768198740614065,-0.22012133116196148,1.7,1.8,-0.10000000000000009
2005-03-01,59,1.672656997531428,1.8638922630248433,1.1551294789982887,-0.0260854120978209,1.9,2.0,-0.10000000000000009
2005-04-01,59,1.4988730762028157,1.9551675743178016,2.604971750148959,-0.21879951195451758,1.8,1.8,0.0
2005-05-01,59,1.298701491628378,2.130700470011044,1.426732807524882,-0.4643442574122721,1.8,1.8,0.0
2005-06-01,59,1.2775231672571352,2.1314165272112087,1.598314369571851,-0.39733247679277417,1.8,1.9,-0.09999999999999987
2005-07-01,59,1.451901170168275,2.2950037948680992,1.850582731842553,-0.5392695347443999,1.7,1.8,-0.10000000000000009
2005-08-01,59,1.7910748717664065,2.3527509390878087,1.7526423632853996,-0.4067824929361898,1.7,1.8,-0.10000000000000009
2005-09-01,59,1.960333729205449,2.2251536068202338,3.283229493254129,-0.2569485576085077,1.8,1.8,0.0
2005-10-01,59,1.689745283714311,2.2192884415876115,2.0884625464399322,-0.5468126043677533,1.8,1.9,-0.09999999999999987
2005-11-01,59,1.552361014356731,2.185598455598458,1.0412714362308158,-0.5451966174661025,1.7,1.8,-0.10000000000000009
2005-12-01,59,1.4142939312851974,2.113250307694755,0.30052199992987844,-0.5371834488101823,1.6,1.7,-0.09999999999999987
2006-01-01,59,2.1334702647892723,1.9102287168964536,1.6486520935957145,-0.1263339689600205,1.8,1.8,0.0
2006-02-01,59,1.9005188528229702,2.551243414542437,0.4274988958612584,-0.4375400606115817,1.7,1.8,-0.10000000000000009
2006-03-01,59,1.632192931006435,2.327562593172038,-0.19228932363649642,-0.43014126922303203,1.8,1.9,-0.09999999999999987
