date,cad_2y,overnight,spread_pp,abs_spread_bp
2007-08-01,4.64,4.5,0.13999999999999968,13.999999999999968
2007-09-01,4.34,4.5,-0.16000000000000014,16.000000000000014
2007-10-01,4.07,4.5,-0.4299999999999997,42.99999999999997
2007-11-01,4.07,4.5,-0.4299999999999997,42.99999999999997
2007-12-01,3.55,4.25,-0.7000000000000002,70.00000000000001
2008-01-01,3.61,4.0,-0.3900000000000001,39.000000000000014
2008-02-01,3.13,4.0,-0.8700000000000001,87.00000000000001
2008-03-01,2.71,3.5,-0.79,79.0
2008-04-01,2.77,3.0,-0.22999999999999998,23.0
2008-05-01,2.73,3.0,-0.27,27.0
2008-06-01,2.9,3.0,-0.10000000000000009,10.000000000000009
2008-07-01,3.22,3.0,0.2200000000000002,22.00000000000002
2008-08-01,2.88,3.0,-0.1200000000000001,12.00000000000001
2008-09-01,2.67,3.0,-0.33000000000000007,33.00000000000001
2008-10-01,2.7,2.25,0.4500000000000002,45.000000000000014
2008-11-01,2.01,2.25,-0.2400000000000002,24.00000000000002
2008-12-01,1.58,1.5,0.08000000000000007,8.000000000000007
2009-01-01,1.15,1.0,0.1499999999999999,14.999999999999991
2009-02-01,1.32,1.0,0.32000000000000006,32.00000000000001
2009-03-01,1.04,0.5,0.54,54.0
2009-04-01,1.08,0.25,0.8300000000000001,83.0
2009-05-01,0.98,0.25,0.73,73.0
2009-06-01,1.26,0.25,1.01,101.0
2009-07-01,1.17,0.25,0.9199999999999999,92.0
2009-08-01,1.44,0.25,1.19,119.0
2009-09-01,1.24,0.25,0.99,99.0
2009-10-01,1.2,0.25,0.95,95.0
2009-11-01,1.41,0.25,1.16,115.99999999999999
2009-12-01,1.09,0.25,0.8400000000000001,84.00000000000001
2010-01-01,1.45,0.25,1.2,120.0
2010-02-01,1.33,0.25,1.08,108.0
2010-03-01,1.35,0.25,1.1,110.00000000000001
2010-04-01,1.72,0.25,1.47,147.0
2010-05-01,1.88,0.25,1.63,163.0
2010-06-01,1.73,0.5,1.23,123.0
2010-07-01,1.43,0.5,0.9299999999999999,93.0
2010-08-01,1.44,0.75,0.69,69.0
2010-09-01,1.26,0.75,0.51,51.0
2010-10-01,1.37,1.0,0.3700000000000001,37.000000000000014
2010-11-01,1.41,1.0,0.4099999999999999,40.99999999999999
2010-12-01,1.67,1.0,0.6699999999999999,67.0
2011-01-01,1.7,1.0,0.7,70.0
2011-02-01,1.71,1.0,0.71,71.0
2011-03-01,1.79,1.0,0.79,79.0
